Date,Ciliates_TA,Cyano_TA,Diatoms_TA,Chloro_TA,Crypto_TA,Chryso_TA,Hapto_TA,Dino_TA,Phyto_TA,Ciliates_TB,Cyano_TB,Diatoms_TB,Chloro_TB,Crypto_TB,Chryso_TB,Hapto_TB,Dino_TB,Phyto_TB,Ciliates_RA,Cyano_RA,Diatoms_RA,Chloro_RA,Crypto_RA,Chryso_RA,Hapto_RA,Dino_RA,Ciliates_RB,Cyano_RB,Diatoms_RB,Chloro_RB,Crypto_RB,Chryso_RB,Hapto_RB,Dino_RB,Phyto_H
18/12/2017,3.7699,30.1593,64.8425,3.016,12.0637,0,0,0,113.85,3.13291489,4.537654879,11.6509351,0.363399725,3.887732973,0,0,0,23.57,3.31,26.49,56.95,2.65,10.6,0,0,0,13.29,19.25,49.43,1.54,16.49,0,0,0,1.962596001
23/01/2018,1.508,0,41.4691,12.8177,2.2619,0,0,0,58.06,1.253199198,0,7.946500586,4.857572171,0.290528052,0,0,0,14.35,2.6,0,71.43,22.08,3.9,0,0,0,8.73,0,55.38,33.86,2.02,0,0,0,2.501505084
07/03/2018,5.2779,0,60.3187,11.3098,2.262,0.754,0,0,79.92,4.386114088,0,14.36777708,2.813339647,2.628760955,0.197296667,0,0,24.39,6.6,0,75.47,14.15,2.83,0.94,0,0,17.98,0,58.9,11.53,10.78,0.81,0,0,2.205814496
03/04/2018,3.7699,0,177.9399,4.5239,21.1115,0,0,0.754,208.1,3.13291489,0,64.86898376,0.728249243,2.71165081,0,0,0.75690075,72.2,1.81,0,85.51,2.17,10.14,0,0,0.36,4.34,0,89.85,1.01,3.76,0,0,1.05,1.819565625
01/05/2018,2.262,188.4956,248.8142,11.3097,12.0638,1.508,0,2.2619,466.72,4.136997245,11.09767845,86.26041592,3.123296673,6.225965876,0.394593333,0,2.270601866,113.51,0.48,40.39,53.31,2.42,2.58,0.32,0,0.48,3.64,9.78,75.99,2.75,5.48,0.35,0,2,1.893509149
28/05/2018,4.5238,2.2619,275.9576,24.1275,330.2442,0.754,0,0,637.87,82.19089736,0.606068565,83.20470589,4.322401194,58.7851993,0.197296667,0,0,229.31,0.71,0.35,43.26,3.78,51.77,0.12,0,0,35.84,0.26,36.29,1.88,25.64,0.09,0,0,1.851872227
26/06/2018,2.262,9.8018,94.2478,62.5806,24.1275,0,0,0.04,193.06,54.16975445,1.474741973,30.76547271,4.123344008,33.49527922,0,0,2.295576081,126.32,1.17,5.08,48.82,32.42,12.5,0,0,0.02,42.88,1.17,24.35,3.26,26.52,0,0,1.82,2.399687013
24/07/2018,0,110.8354,117.6213,62.5805,593.3841,2.2619,2.2619,1.634,890.58,0,16.67587754,40.1434216,5.085749127,200.1396486,0.591863833,0.153619668,51.25957454,314.05,0,12.45,13.21,7.03,66.63,0.25,0.25,0.18,0,5.31,12.78,1.62,63.73,0.19,0.05,16.32,1.585808173
21/08/2018,6.7859,172.6619,89.7239,58.0566,348.3398,2.262,1.508,0,679.34,31.78429111,25.97806027,27.90805447,2.036676143,96.18184565,1.486433087,0.10241764,0,185.48,1,25.42,13.21,8.55,51.28,0.33,0.22,0,17.14,14.01,15.05,1.1,51.86,0.8,0.06,0,1.796179376
17/09/2018,2.2619,0,102.5416,112.3434,24.1274,0,0,1.508,242.78,1.879715693,0,28.84741345,7.062016948,56.87684675,0,0,1.513801501,96.18,0.93,0,42.24,46.27,9.94,0,0,0.62,1.95,0,29.99,7.34,59.14,0,0,1.57,2.520363672
17/10/2018,1.508,0,101.7876,14.3255,15.0796,0,2.2619,2.2619,137.22,1.253199198,0,38.44024631,1.133234687,39.34747855,0,0.153619668,2.270601866,82.6,1.1,0,74.18,10.44,10.99,0,1.65,1.65,1.52,0,46.54,1.37,47.64,0,0.19,2.75,2.259612601
18/11/2018,3.7699,0,104.8035,61.0726,33.9292,0,3.0159,0,206.59,3.13291489,0,43.57705503,2.658230353,34.75425124,0,0.204828488,0,84.33,1.82,0,50.73,29.56,16.42,0,1.46,0,3.72,0,51.68,3.15,41.21,0,0.24,0,2.653508511
18/12/2018,3.7699,0,122.1451,36.9452,0.754,0,0,0,163.61,3.13291489,0,48.34155066,7.039145919,2.435067024,0,0,0,60.95,2.3,0,74.65,22.58,0.46,0,0,0,5.14,0,79.32,11.55,4,0,0,0,2.143975304
14/01/2019,4.5239,2.2619,49.7629,8.2938,1.508,0,1.508,2.2619,70.12,4.888113714,0.340316969,17.85967133,0.670796107,2.53191399,0,0.10241764,2.270601866,28.66,6.45,3.23,70.97,11.83,2.15,0,2.15,3.23,17.05,1.19,62.31,2.34,8.83,0,0.36,7.92,2.28405787
18/02/2019,2.2619,0,70.8743,3.016,2.262,0,1.508,0.754,80.68,1.879715693,0,29.69948491,0.1894048,2.628760955,0,0.10241764,0.75690075,35.26,2.8,0,87.85,3.74,2.8,0,1.87,0.93,5.33,0,84.24,0.54,7.46,0,0.29,2.15,1.978208633
25/03/2019,2.262,0,105.5576,9.8018,0,0.754,1.508,1.508,121.39,29.15337585,0,34.96560925,2.221256986,0,0.197296667,0.10241764,1.513801501,68.15,1.86,0,86.96,8.07,0,0.62,1.24,1.24,42.78,0,51.3,3.26,0,0.29,0.15,2.22,2.234004981
16/04/2019,5.2779,0,421.4762,12.8177,4.5239,0.754,3.0159,2.2619,450.13,58.93326819,0,194.4999189,6.049548584,2.919289007,0.197296667,0.204828488,2.270601866,265.07,1.17,0,93.63,2.85,1.01,0.17,0.67,0.5,22.23,0,73.38,2.28,1.1,0.07,0.08,0.86,2.230610714
14/05/2019,2.2619,0,541.3594,27.8973,24.1274,0,0,0,595.65,1.879715693,0,234.3644967,4.011906427,3.099025828,0,0,0,243.36,0.38,0,90.89,4.68,4.05,0,0,0,0.77,0,96.31,1.65,1.27,0,0,0,2.052421599
19/06/2019,0.754,0,418.4601,49.7628,263.8938,0,0,0,732.87,26.77157742,0,190.8836689,2.281479098,38.57208167,0,0,0,258.51,0.1,0,57.1,6.79,36.01,0,0,0,10.36,0,73.84,0.88,14.92,0,0,0,1.856074356
17/07/2019,7.5398,67.1044,196.0353,142.5026,438.0637,0,2.2619,0.04,853.55,84.69729575,10.09627571,89.42472537,20.01682533,70.29577419,0,0.153619668,2.295576081,276.98,0.88,7.86,22.97,16.7,51.32,0,0.26,0,30.58,3.65,32.29,7.23,25.38,0,0.06,0.83,2.016669596
20/08/2019,0,0,113.0974,53.5327,29.4053,0,0.754,0,196.79,0,0,37.76240728,5.07568557,38.8493123,0,0.05120882,0,81.74,0,0,57.47,27.2,14.94,0,0.38,0,0,0,46.2,6.21,47.53,0,0.06,0,2.729199534
07/09/2019,11.3097,194.5274,373.9752,63.3345,252.584,0,2.2619,0.754,898.75,87.83021064,29.26786118,159.0688186,5.114583034,55.82454313,0,0.153619668,0.75690075,338.02,1.26,21.64,41.61,7.05,28.1,0,0.25,0.08,25.98,8.66,47.06,1.51,16.52,0,0.05,0.22,2.019347782
19/09/2019,1.508,226.1947,94.2478,15.0797,0,0,0,0,337.03,27.39817702,13.31721296,27.98730375,3.103456471,0,0,0,0,71.81,0.45,67.11,27.96,4.47,0,0,0,0,38.16,18.55,38.98,4.32,0,0,0,0,1.384365275
15/10/2019,0.754,0,133.4548,11.3097,8.2938,0,0,0,153.81,0.626599599,0,51.79840966,6.456759693,17.43252123,0,0,0,76.31,0.49,0,86.76,7.35,5.39,0,0,0,0.82,0,67.88,8.46,22.84,0,0,0,2.130231307
19/11/2019,4.5239,0,61.0727,7.5398,3.7699,0,0,0.754,77.66,3.759514489,0,18.82993243,0.312346673,7.49857205,0,0,0.75690075,31.16,5.83,0,78.64,9.71,4.85,0,0,0.97,12.07,0,60.44,1,24.07,0,0,2.43,2.052640104
16/12/2019,3.7699,40.715,104.8037,1.508,2.2619,0,0,0.754,153.81,30.40649194,6.125825812,30.1267657,0.229603996,7.30487812,0,0,0.75690075,74.95,2.45,26.47,68.14,0.98,1.47,0,0,0.49,40.57,8.17,40.2,0.31,9.75,0,0,1.01,2.161441711
20/01/2020,1.508,0,58.8106,0.754,0,0,0,2.2619,63.33,2.381798422,0,24.35006134,0.031567467,0,0,0,2.270601866,29.03,2.38,0,92.86,1.19,0,0,0,3.57,8.2,0,83.87,0.11,0,0,0,7.82,1.592397946
25/02/2020,1.508,0,116.1132,3.0159,0,0,0,0,120.64,1.253199198,0,45.80085611,0.39458025,0,0,0,0,47.45,1.25,0,96.25,2.5,0,0,0,0,2.64,0,96.53,0.83,0,0,0,0,1.279535243
25/03/2020,3.7699,0,297.0692,77.6602,9.8018,0,0,1.508,389.81,3.13291489,0,127.1232684,2.651606912,1.258984862,0,0,1.513801501,135.68,0.97,0,76.21,19.92,2.51,0,0,0.39,2.31,0,93.69,1.95,0.93,0,0,1.12,1.618192444
21/04/2020,1.508,0,295.5611,1.508,3.7699,0,0,0,302.35,1.253199198,0,148.2900912,0.197296667,2.822442042,0,0,0,152.56,0.5,0,97.76,0.5,1.25,0,0,0,0.82,0,97.2,0.13,1.85,0,0,0,1.225044666
20/05/2020,6.7858,0,253.3382,39.2071,158.3363,0,0,0,457.67,5.639230182,0,115.727271,1.352943761,25.01382762,0,0,0,147.73,1.48,0,55.35,8.57,34.6,0,0,0,3.82,0,78.34,0.92,16.93,0,0,0,1.899933806
24/06/2020,0.754,0,110.0814,12.8177,52.7788,0,0,0.754,177.19,0.626599599,0,45.79764228,0.916220914,32.49893388,0,0,0.75690075,80.6,0.43,0,62.13,7.23,29.79,0,0,0.43,0.78,0,56.82,1.14,40.32,0,0,0.94,2.482043303
17/07/2020,1.508,0,39.2071,16.5877,29.4053,0,2.2619,1.508,90.48,1.253199198,0,12.32907261,1.338435781,22.4823921,0,0.153619668,1.513801501,39.07,1.67,0,43.33,18.33,32.5,0,2.5,1.67,3.21,0,31.56,3.43,57.54,0,0.39,3.87,2.714161357
12/08/2020,12.8177,34.6832,114.6053,36.9452,36.1911,6.0319,0.754,2.2619,244.29,98.11205395,3.146782005,45.69688228,2.757361903,79.46971997,4.70918865,0.05120882,2.270601866,236.21,5.25,14.2,46.91,15.12,14.81,2.47,0.31,0.93,41.54,1.33,19.35,1.17,33.64,1.99,0.02,0.96,2.870610867
14/09/2020,4.5239,457.6673,93.4939,156.0743,15.0797,1.508,0,0,728.35,3.759514489,15.67841049,35.68794238,16.61826164,18.30413108,0.394593333,0,0,90.44,0.62,62.84,12.84,21.43,2.07,0.21,0,0,4.16,17.34,39.46,18.37,20.24,0.44,0,0,1.951083774
16/10/2020,3.0159,0,49.0089,15.0796,8.2938,0,0,3.0159,78.41,28.65129312,0,12.76806086,0.686171123,19.77074129,0,0,3.027502617,64.9,3.85,0,62.5,19.23,10.58,0,0,3.85,44.14,0,19.67,1.06,30.46,0,0,4.66,2.301853247
16/11/2020,3.0159,226.1947,113.0973,17.3417,6.0318,0,3.0159,3.0159,371.71,2.506315292,0.947001811,48.34524089,2.500700915,10.12732016,0,0.204828488,3.027502617,67.66,0.81,60.85,30.43,4.67,1.62,0,0.81,0.81,3.7,1.4,71.45,3.7,14.97,0,0.3,4.47,1.429534107
15/12/2020,1.508,75.3982,43.7311,9.8018,0,0,0,1.508,131.95,1.253199198,4.439069025,21.23460018,0.628176154,0,0,0,1.513801501,29.07,1.14,57.14,33.14,7.43,0,0,0,1.14,4.31,15.27,73.05,2.16,0,0,0,5.21,1.448146084
