Date,GR_Q,BR_Q
30/10/2004,0.292237273,0.806574874
31/10/2004,0.243843162,0.673007127
01/11/2004,0.21757594,0.600509594
02/11/2004,0.202133305,0.557887922
03/11/2004,0.313989758,0.866611732
04/11/2004,0.43042319,1.187968004
05/11/2004,0.244997721,0.67619371
06/11/2004,0.22907512,0.632247331
07/11/2004,0.728784472,2.011445141
08/11/2004,0.935145528,2.581001657
09/11/2004,0.621978743,1.71666133
10/11/2004,0.324054115,0.894389358
11/11/2004,0.830279777,2.291572185
12/11/2004,0.836729726,2.309374044
13/11/2004,0.294414472,0.812583942
14/11/2004,0.254550706,0.702559948
15/11/2004,NA,NA
16/11/2004,NA,NA
17/11/2004,NA,NA
18/11/2004,NA,NA
19/11/2004,NA,NA
20/11/2004,NA,NA
21/11/2004,NA,NA
22/11/2004,0.55790629,1.53982136
23/11/2004,0.542180421,1.496417961
24/11/2004,0.35077754,0.968146012
25/11/2004,0.274316328,0.757113065
26/11/2004,0.280740593,0.774844035
27/11/2004,1.703737435,4.702315319
28/11/2004,0.690207215,1.904971914
29/11/2004,0.332269346,0.917063395
30/11/2004,0.934715586,2.579815017
01/12/2004,0.362329536,1.00002952
02/12/2004,0.43151233,1.19097403
03/12/2004,0.55663134,1.5363025
04/12/2004,0.962992265,2.657858652
05/12/2004,0.869840358,2.400759387
06/12/2004,3.534145249,9.754240886
07/12/2004,0.494946618,1.366052667
08/12/2004,4.028627429,11.1190117
09/12/2004,0.993016064,2.740724338
10/12/2004,1.872833256,5.169019787
11/12/2004,0.543986515,1.501402782
12/12/2004,0.371947931,1.026576288
13/12/2004,0.295871466,0.816605246
14/12/2004,7.736732486,21.35338166
15/12/2004,2.244086216,6.193677956
16/12/2004,2.603101589,7.184560386
17/12/2004,2.594084061,7.159672008
18/12/2004,1.73465885,4.787658426
19/12/2004,0.995114101,2.746514917
20/12/2004,1.319415083,3.641585629
21/12/2004,1.075841555,2.969322692
22/12/2004,5.476061742,15.11393041
23/12/2004,1.626224126,4.488378589
24/12/2004,1.528802642,4.219495293
25/12/2004,0.933889085,2.577533875
26/12/2004,0.920709542,2.541158336
27/12/2004,3.75175307,10.35483847
28/12/2004,1.631094121,4.501819774
29/12/2004,1.316526059,3.633611922
30/12/2004,2.145293155,5.921009107
31/12/2004,0.94007088,2.594595628
01/01/2005,2.037917879,5.624653346
02/01/2005,0.843013735,2.326717908
03/01/2005,0.644554063,1.778969213
04/01/2005,1.682774675,4.644458103
05/01/2005,3.257822161,8.991589165
06/01/2005,5.448639537,15.03824512
07/01/2005,9.554501968,26.37042543
08/01/2005,6.183720352,17.06706817
09/01/2005,3.975041678,10.97111503
10/01/2005,1.65613808,4.570941102
11/01/2005,0.918098946,2.533953091
12/01/2005,1.557505514,4.298715218
13/01/2005,0.562738869,1.553159279
14/01/2005,3.152076718,8.699731741
15/01/2005,5.210121321,14.37993485
16/01/2005,2.463156239,6.79831122
17/01/2005,1.510003283,4.167609061
18/01/2005,1.194657227,3.297253948
19/01/2005,3.194941775,8.818039299
20/01/2005,5.609637954,15.48260075
21/01/2005,1.496546066,4.130467142
22/01/2005,2.449307729,6.760089332
23/01/2005,0.634106265,1.750133291
24/01/2005,0.368970182,1.018357701
25/01/2005,0.327155813,0.902950043
26/01/2005,0.363120901,1.002213687
27/01/2005,0.378179894,1.043776508
28/01/2005,0.394394371,1.088528464
29/01/2005,0.331551678,0.915082631
30/01/2005,0.361588777,0.997985024
31/01/2005,0.341591547,0.942792671
01/02/2005,0.288347334,0.795838643
02/02/2005,0.251870194,0.695161735
03/02/2005,0.569308096,1.571290345
04/02/2005,3.661102365,10.10464253
05/02/2005,0.88698273,2.448072335
06/02/2005,0.908113912,2.506394398
07/02/2005,0.73689657,2.033834534
08/02/2005,0.778511084,2.148690593
09/02/2005,1.146389815,3.164035889
10/02/2005,0.977459672,2.697788694
11/02/2005,3.215911213,8.875914947
12/02/2005,2.490292417,6.873207072
13/02/2005,0.657208311,1.813894937
14/02/2005,0.330298414,0.911623622
15/02/2005,0.301936916,0.833345887
16/02/2005,0.354901808,0.979528989
17/02/2005,0.391797545,1.081361223
18/02/2005,0.517824001,1.429194242
19/02/2005,0.299317589,0.826116547
20/02/2005,0.376684464,1.039649121
21/02/2005,0.944708722,2.607396072
22/02/2005,0.39237338,1.08295053
23/02/2005,0.2632711,0.726628236
24/02/2005,0.221071503,0.610157347
25/02/2005,0.20090157,0.554488332
26/02/2005,0.181547401,0.501070827
27/02/2005,0.181426396,0.500736852
28/02/2005,0.197587005,0.545340134
01/03/2005,1.00751459,2.780740269
02/03/2005,0.535511862,1.478012739
03/03/2005,0.296417974,0.818113609
04/03/2005,0.73466253,2.027668582
05/03/2005,0.458681072,1.26595976
06/03/2005,0.262933966,0.725697746
07/03/2005,0.224787505,0.620413515
08/03/2005,0.209747408,0.578902847
09/03/2005,0.200399447,0.553102474
10/03/2005,0.194647951,0.537228345
11/03/2005,0.25397657,0.700975332
12/03/2005,0.251631106,0.694501854
13/03/2005,0.205509528,0.567206298
14/03/2005,1.564131106,4.317001852
15/03/2005,2.168374948,5.984714856
16/03/2005,0.67210173,1.855000775
17/03/2005,1.196512874,3.302375533
18/03/2005,1.129155386,3.116468864
19/03/2005,0.363514196,1.003299182
20/03/2005,0.250767329,0.692117828
21/03/2005,0.307243446,0.847991911
22/03/2005,0.612099105,1.68939353
23/03/2005,0.494765904,1.365553894
24/03/2005,0.546912526,1.509478571
25/03/2005,0.427905908,1.181020306
26/03/2005,0.252409602,0.6966505
27/03/2005,0.213453043,0.589130399
28/03/2005,0.197895296,0.546191018
29/03/2005,0.243953994,0.673313023
30/03/2005,0.379470768,1.047339319
31/03/2005,0.95242885,2.628703625
01/04/2005,3.688988975,10.18160957
02/04/2005,0.338491984,0.934237876
03/04/2005,0.302446716,0.834752937
04/04/2005,0.416477894,1.149478986
05/04/2005,2.501377071,6.903800716
06/04/2005,1.417898984,3.913401197
07/04/2005,1.323891952,3.653941786
08/04/2005,0.516951969,1.426787434
09/04/2005,0.415557327,1.146938223
10/04/2005,0.351359468,0.969752133
11/04/2005,0.883258452,2.437793328
12/04/2005,0.639034253,1.763734538
13/04/2005,1.126373209,3.108790056
14/04/2005,0.870239508,2.401861042
15/04/2005,0.332571731,0.917897977
16/04/2005,0.231947876,0.640176137
17/04/2005,4.259591894,11.75647363
18/04/2005,0.42898214,1.183990707
19/04/2005,0.247191505,0.682248554
20/04/2005,0.202655735,0.559329829
21/04/2005,0.184250166,0.508530459
22/04/2005,0.171951595,0.474586403
23/04/2005,0.167288647,0.461716666
24/04/2005,0.159496316,0.440209833
25/04/2005,0.168285038,0.464466704
26/04/2005,0.336327596,0.928264165
27/04/2005,0.927485342,2.559859545
28/04/2005,2.513254621,6.936582755
29/04/2005,0.323613952,0.893174507
30/04/2005,0.226019697,0.623814365
01/05/2005,0.232077445,0.640533747
02/05/2005,2.691996181,7.429909459
03/05/2005,0.914809027,2.524872915
04/05/2005,0.350288843,0.966797208
05/05/2005,0.876577083,2.419352748
06/05/2005,1.17090647,3.231701858
07/05/2005,0.604014114,1.667078954
08/05/2005,0.343915235,0.94920605
09/05/2005,0.238702584,0.658819131
10/05/2005,0.197521907,0.545160464
11/05/2005,0.182946888,0.50493341
12/05/2005,0.170379482,0.470247371
13/05/2005,0.160814579,0.443848238
14/05/2005,0.157872307,0.435727567
15/05/2005,0.156583919,0.432171617
16/05/2005,0.155795151,0.429994616
17/05/2005,0.15155552,0.418293236
18/05/2005,0.152738673,0.421558737
19/05/2005,0.22255967,0.614264688
20/05/2005,0.575827207,1.589283091
21/05/2005,0.232697063,0.642243894
22/05/2005,0.23268386,0.642207453
23/05/2005,1.27158772,3.509582107
24/05/2005,0.285474212,0.787908825
25/05/2005,6.772839177,18.69303613
26/05/2005,0.854306492,2.357885919
27/05/2005,0.60209137,1.661772181
28/05/2005,2.978664365,8.221113647
29/05/2005,0.42214506,1.165120366
30/05/2005,0.237038285,0.654225668
31/05/2005,0.215189452,0.593922889
01/06/2005,3.59095055,9.911023518
02/06/2005,5.923010073,16.3475078
03/06/2005,1.287587153,3.553740542
04/06/2005,1.008059446,2.78224407
05/06/2005,0.388627647,1.072612307
06/06/2005,0.23870617,0.658829029
07/06/2005,0.19091838,0.526934729
08/06/2005,0.181341268,0.500501899
09/06/2005,0.176701355,0.487695741
10/06/2005,0.168274433,0.464437434
11/06/2005,0.160508832,0.443004377
12/06/2005,0.157376007,0.43435778
