sp1;sp2 ;sp3;sp4;sp5;sp6;sp7;sp8;sp9;sp10;sp11;sp12;sp13;sp14;sp15;sp16;sp17;sp18;sp19;sp20;sp21;sp22;sp23;sp24;sp25;sp26;sp27;sp28;sp29;sp30;sp31;sp32;sp33;sp34;sp35;sp36;sp37;sp38;sp39;sp40;sp41;sp42;sp43;sp44;sp45;sp46;sp47;sp48;sp49;sp50;sp51;sp52;sp53;sp54;sp55;sp56;sp57;sp58;sp59;sp60;sp61;sp62;sp63;sp64;sp65
0;98771.7;0;20357.5;66350.4;0;40;0;0;0;0;6031.9;3015.9;0;0;0;0;7539.8;0;0;0;17341.6;754;2261.9;0;1508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3769.9;0;0;0;0;0;0;0;3015.9;0;102541.6;0;0;0;0;2261.9;754;0;0;7539.8;0
0;8293.8;0;0;9047.8;0;80;0;0;0;0;4523.9;754;0;0;0;0;8293.8;1508;10555.8;0;5277.9;0;754;0;0;0;2261.9;0;0;0;0;0;0;0;754;0;0;0;754;0;0;0;0;3015.9;0;0;0;0;0;0;0;2261.9;0;15833.6;0;102541.6;0;0;12817.7;1508;0;0;18095.6;0
0;15833.6;0;10555.8;48254.9;0;0;0;0;0;0;3769.9;4523.9;0;0;0;0;41469;0;3769.9;0;2261.9;0;3015.9;0;0;0;754;0;0;3015.9;0;0;0;0;0;0;0;0;1508;0;0;0;0;754;0;0;0;3015.9;0;0;754;8293.8;0;12063.7;0;0;0;0;754;2261.9;0;0;33175.2;0
3769.9;21865.5;0;12817.7;11309.7;0;0;0;0;0;0;4523.9;10555.8;5277.9;0;0;0;0;0;7539.8;0;6031.9;754;2261.9;0;754;0;0;0;1508;0;0;0;0;0;2261.9;754;0;0;8293.8;0;0;0;0;754;0;1508;754;0;0;0;9801.8;2261.9;0;6031.9;0;9048;0;0;7539.8;0;0;0;6031.9;0
6031.9;9047.8;0;0;30913.3;0;0;0;0;0;0;2261.9;7539.8;0;0;0;0;0;0;8293.8;0;11309.7;3015.9;1508;0;0;0;754;0;0;0;0;50516.8;0;0;0;0;0;0;17341.6;1508;2261.9;0;0;0;0;0;0;9047.8;0;0;1508;3015.9;0;8293.8;0;0;0;1508;14325.7;0;0;0;0;0
9801.8;21111.5;0;73890.3;39207.1;0;0;0;0;0;0;4523.9;15833.6;0;0;0;0;0;0;4523.9;0;10555.8;754;3769.9;0;0;0;0;0;0;0;0;0;0;0;1508;0;0;0;0;0;754;0;0;0;0;5277.9;4523.9;1508;0;0;5277.9;8293.8;0;46746.9;0;0;0;2261.9;9801.8;0;0;0;0;0
0;6031.9;0;12063.7;3015.9;0;0;0;0;0;0;3015.9;8293.8;0;0;0;0;0;0;2261.9;0;2261.9;0;1508;0;0;0;754;0;0;0;0;0;0;0;3769.9;0;0;0;0;0;1508;0;0;754;0;0;0;0;0;0;0;4523.9;0;9047.8;0;0;0;0;3015.9;0;0;0;0;0
0;7539.8;0;6031.9;3015.9;0;0;0;0;0;0;0;5277.9;0;0;754;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;12063.7;0;0;0;0;0;0;0;0;0;4523.9;0;0;0;0;0;0;1508;0;0;0;1508;0;4523.9;0;0;3015.9;1508;8293.8;0;0;0;15833.6;0
0;5277.9;0;0;3769.9;0;0;2261.9;0;0;0;0;754;0;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3769.9;0;1508;0;0;0;0;3015.9;0;0;0;5277.9;0
0;4523.9;0;20357.5;0;0;0;0;0;0;0;754;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1508;0;2261.9;0;0;0;0;754;3015.9;0;3769.9;0;0;0;0;1508;0;0;0;8293.8;0
