Date,wtr_2.5,wtr_5,wtr_8,wtr_11,wtr_14,wtr_16,wtr_18,wtr_20,wtr_22,wtr_27,wtr_32,wtr_42,wtr_mean,ss
11/04/2004,8.548666667,8.440576389,8.332486111,8.506125,8.198583333,8.500805556,8.118791667,8.111708333,8.103166667,8.075930556,7.933083333,7.770013889,8.219994792,15.99539441
12/04/2004,8.908472222,8.604902778,8.301333333,8.465277778,8.171583333,8.359986111,8.113013889,8.103569444,8.109277778,8.094263889,7.972347222,7.794472222,8.249875,25.79689159
13/04/2004,8.668625,8.587,8.505375,8.639805556,8.376875,8.554152778,8.316263889,8.284361111,8.206861111,8.139138889,8.012722222,7.844763889,8.344662037,17.69961794
14/04/2004,8.907277778,8.924631944,8.941986111,9.00725,8.881222222,8.973597222,8.687555556,8.622263889,8.573972222,8.545763889,8.221402778,7.893208333,8.681677662,17.7112099
15/04/2004,8.949333333,8.942826389,8.936319444,8.969041667,8.678236111,8.871986111,8.599819444,8.583361111,8.571361111,8.517555556,8.299680556,8.125333333,8.670404514,18.77486664
16/04/2004,8.83275,8.785902778,8.739055556,9.02,8.623055556,9.02,8.596083333,8.59,8.5815,8.252972222,8.17,8.166833333,8.614846065,16.03379061
17/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/04/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/05/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/05/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/05/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/05/2004,10.00301726,9.991120707,9.979224155,9.963577586,9.936637931,10.14844822,9.893965517,9.903060345,9.876637931,9.898362069,9.875258621,9.871206897,9.945043103,4.610653634
05/05/2004,9.869583333,9.869791667,9.87,9.869958333,9.87,9.870083333,9.87,9.87,9.87,9.87,9.87,9.87,9.869951389,-0.015008494
06/05/2004,9.831444444,9.841520833,9.851597222,9.859763889,9.863736111,9.869027778,9.850861111,9.854347222,9.814083333,9.858861111,9.810152778,9.787916667,9.841109375,0.207457044
07/05/2004,9.838736111,9.805909722,9.773083333,9.804652778,9.794972222,9.978166667,9.796736111,9.808083333,9.796305556,9.815,9.815263889,9.784527778,9.817619792,0.187727976
08/05/2004,10.07615278,9.928472222,9.780791667,9.811027778,9.775986111,10.04526389,9.780194444,9.775541667,9.755180556,9.802513889,9.724625,9.593583333,9.820777778,11.13918849
09/05/2004,10.26955556,10.09942361,9.929291667,9.976652778,9.889138889,10.12926389,9.844361111,9.840458333,9.831666667,9.843305556,9.748291667,9.617888889,9.918274884,17.93806131
10/05/2004,10.14718056,10.11438194,10.08158333,10.07988889,9.928347222,10.274625,9.877763889,9.868583333,9.867125,9.870083333,9.834277778,9.688208333,9.969337384,12.97516019
11/05/2004,10.35634722,10.27688889,10.19743056,10.10319444,9.975416667,10.21833333,9.872791667,9.858527778,9.835416667,9.826986111,9.804875,9.681736111,10.00066204,23.73012779
12/05/2004,10.62951389,10.4719375,10.31436111,10.24794444,10.05256944,10.19834722,9.937875,9.922611111,9.884819444,9.853541667,9.810097222,9.683944444,10.08396354,34.68280743
13/05/2004,11.17838889,10.95996528,10.74154167,10.51286111,10.217,10.24181944,10.10423611,10.03080556,9.895819444,9.821416667,9.788569444,9.731236111,10.26863831,62.41961994
14/05/2004,11.47366667,11.36580556,11.25794444,10.63177778,10.30551389,10.25356944,9.980652778,9.928805556,9.840138889,9.816944444,9.802347222,9.754486111,10.36763773,84.58347241
15/05/2004,11.89759722,11.74447222,11.59134722,11.03404167,10.34279167,10.20655556,9.950541667,9.897819444,9.832430556,9.836083333,9.806722222,9.761361111,10.49181366,109.9991928
16/05/2004,12.26201389,12.0073125,11.75261111,11.02794444,10.53102778,10.353125,9.997930556,9.924291667,9.862208333,9.864319444,9.853055556,9.7965,10.60269502,127.3725514
